No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
1.0,20260518,강릉,간성,강원 고성(집),181.0,209.0,-28.0,115.5%
2.0,20260518,강릉,간성,거진(집),56.0,69.0,-13.0,123.2%
3.0,20260518,강릉,강릉,강릉교동(집),614.0,663.0,-49.0,108%
4.0,20260518,강릉,강릉,강릉입암(집),264.0,311.0,-47.0,117.8%
5.0,20260518,강릉,강릉,강릉중앙(집),207.0,213.0,-6.0,102.9%
6.0,20260518,강릉,강릉,강릉홍제(집),244.0,266.0,-22.0,109%
7.0,20260518,강릉,강릉,주문진(집),200.0,223.0,-23.0,111.5%
8.0,20260518,강릉,강릉,포남(집),213.0,234.0,-21.0,109.9%
9.0,20260518,강릉,동해,남동해(집),433.0,453.0,-20.0,104.6%
10.0,20260518,강릉,동해,동해(집),463.0,375.0,88.0,81%
11.0,20260518,강릉,삼척,삼척(집),529.0,518.0,11.0,97.9%
12.0,20260518,강릉,속초,속초설악(집),270.0,306.0,-36.0,113.3%
13.0,20260518,강릉,속초,속초양양(집),776.0,715.0,61.0,92.1%
14.0,20260518,강북,강북,미아(집),1428.0,1568.0,-140.0,109.8%
15.0,20260518,강북,강북,번동(집),318.0,334.0,-16.0,105%
16.0,20260518,강북,고암(노원),노원(집),1594.0,1981.0,-387.0,124.3%
17.0,20260518,강북,고암(노원),중계(집),317.0,380.0,-63.0,119.9%
18.0,20260518,강북,도봉,도봉(집),1024.0,1091.0,-67.0,106.5%
19.0,20260518,강북,도봉,창동(집),685.0,736.0,-51.0,107.4%
20.0,20260518,강북,의정부,가능(집),1355.0,1520.0,-165.0,112.2%
21.0,20260518,강북,의정부,의정부(집),521.0,542.0,-21.0,104%
22.0,20260518,강북,의정부,의정부용현(집),557.0,589.0,-32.0,105.7%
23.0,20260518,강북,의정부,호원(집),742.0,801.0,-59.0,108%
24.0,20260518,강서,강서,강서공항(집),322.0,361.0,-39.0,112.1%
25.0,20260518,강서,강서,마곡(집),194.0,228.0,-34.0,117.5%
26.0,20260518,강서,강서,방화(집),620.0,660.0,-40.0,106.5%
27.0,20260518,강서,강화,강화교동(집),234.0,226.0,8.0,96.6%
28.0,20260518,강서,강화,강화삼산(집),381.0,289.0,92.0,75.9%
29.0,20260518,강서,김포,김포구래(집),1363.0,1370.0,-7.0,100.5%
30.0,20260518,강서,김포,김포장기(집),666.0,736.0,-70.0,110.5%
31.0,20260518,강서,김포2,김포대곶(집),720.0,776.0,-56.0,107.8%
32.0,20260518,강서,김포2,김포마산(집),499.0,595.0,-96.0,119.2%
33.0,20260518,강서,김포2,김포양촌(집),429.0,469.0,-40.0,109.3%
34.0,20260518,강서,김포2,김포운양(집),259.0,316.0,-57.0,122%
35.0,20260518,강서,목동,등촌(집),824.0,888.0,-64.0,107.8%
36.0,20260518,강서,목동,신목동(집),309.0,384.0,-75.0,124.3%
37.0,20260518,강서,신월,목일(집),214.0,241.0,-27.0,112.6%
38.0,20260518,강서,신월,양천신월(집),708.0,711.0,-3.0,100.4%
39.0,20260518,강서,신월,화곡(집),1079.0,1172.0,-93.0,108.6%
40.0,20260518,강서,양천,신목(집),166.0,186.0,-20.0,112%
41.0,20260518,강서,양천,신정(집),738.0,810.0,-72.0,109.8%
42.0,20260518,강서,양천,염창(집),163.0,137.0,26.0,84%
43.0,20260518,광주,고창,고창(집),351.0,378.0,-27.0,107.7%
44.0,20260518,광주,광주,광주송정(집),1407.0,1466.0,-59.0,104.2%
45.0,20260518,광주,광주,수완(집),738.0,979.0,-241.0,132.7%
46.0,20260518,광주,나주,나주(집),628.0,674.0,-46.0,107.3%
47.0,20260518,광주,나주,나주동구(집),81.0,106.0,-25.0,130.9%
48.0,20260518,광주,남광주,광주금호(집),583.0,602.0,-19.0,103.3%
49.0,20260518,광주,남광주,광주방림(집),597.0,576.0,21.0,96.5%
50.0,20260518,광주,남광주,광주진월(집),723.0,797.0,-74.0,110.2%
51.0,20260518,광주,담양,담양(집),163.0,212.0,-49.0,130.1%
52.0,20260518,광주,동광주,광주 광산(집),1176.0,1301.0,-125.0,110.6%
53.0,20260518,광주,동광주,무등(집),841.0,970.0,-129.0,115.3%
54.0,20260518,광주,동광주,오치(집),345.0,367.0,-22.0,106.4%
55.0,20260518,광주,부안,부안(집),222.0,258.0,-36.0,116.2%
56.0,20260518,광주,북광주,동문(집),684.0,733.0,-49.0,107.2%
57.0,20260518,광주,북광주,용봉(집),1060.0,1122.0,-62.0,105.8%
58.0,20260518,광주,북광주,중흥(집),1073.0,1161.0,-88.0,108.2%
59.0,20260518,광주,서광주,광주 중부(집),953.0,1016.0,-63.0,106.6%
60.0,20260518,광주,서광주,광주화정(집),361.0,470.0,-109.0,130.2%
61.0,20260518,광주,서광주,풍암(집),131.0,154.0,-23.0,117.6%
62.0,20260518,광주,장성,순창(집),154.0,168.0,-14.0,109.1%
63.0,20260518,광주,장성,영광(집),132.0,139.0,-7.0,105.3%
64.0,20260518,광주,장성,영광읍(집),207.0,251.0,-44.0,121.3%
65.0,20260518,광주,장성,장성(집),355.0,394.0,-39.0,111%
66.0,20260518,광주,장성,화순(집),591.0,627.0,-36.0,106.1%
67.0,20260518,광주,정읍,정읍(집),883.0,928.0,-45.0,105.1%
68.0,20260518,구로,관악,서원(집),426.0,440.0,-14.0,103.3%
69.0,20260518,구로,관악,신림서(집),667.0,698.0,-31.0,104.6%
70.0,20260518,구로,관악,조원(집),148.0,200.0,-52.0,135.1%
71.0,20260518,구로,구로,고척(집),500.0,563.0,-63.0,112.6%
72.0,20260518,구로,구로,구로남(집),422.0,455.0,-33.0,107.8%
73.0,20260518,구로,구로,구로중앙(집),598.0,699.0,-101.0,116.9%
74.0,20260518,구로,남서울,가산벤처(집),547.0,757.0,-210.0,138.4%
75.0,20260518,구로,남서울,신대림(집),319.0,310.0,9.0,97.2%
76.0,20260518,구로,독산/시흥,구로시흥(집),420.0,404.0,16.0,96.2%
77.0,20260518,구로,독산/시흥,독산(집),579.0,643.0,-64.0,111.1%
78.0,20260518,구로,동작,상도(집),74.0,150.0,-76.0,202.7%
79.0,20260518,구로,동작,상도중앙(집),254.0,303.0,-49.0,119.3%
80.0,20260518,구로,동작,신대방(집),423.0,379.0,44.0,89.6%
81.0,20260518,구로,동작사당,노량진(집),797.0,798.0,-1.0,100.1%
82.0,20260518,구로,동작사당,사당(집),521.0,525.0,-4.0,100.8%
83.0,20260518,구로,봉천,관악성현(집),292.0,338.0,-46.0,115.8%
84.0,20260518,구로,봉천,은천(집),451.0,505.0,-54.0,112%
85.0,20260518,구로,봉천,인헌(집),233.0,246.0,-13.0,105.6%
86.0,20260518,구로,봉천,행운(집),272.0,325.0,-53.0,119.5%
87.0,20260518,구로,신구로,구로 서(집),233.0,272.0,-39.0,116.7%
88.0,20260518,구로,신구로,천왕(집),401.0,450.0,-49.0,112.2%
89.0,20260518,구로,영등포,신길(집),420.0,469.0,-49.0,111.7%
90.0,20260518,구로,영등포,여의도(집),1304.0,1312.0,-8.0,100.6%
91.0,20260518,구로,영등포,영등포중앙(집),701.0,680.0,21.0,97%
92.0,20260518,구미,구미,구미공단(집),190.0,224.0,-34.0,117.9%
93.0,20260518,구미,구미,구미지산(집),684.0,749.0,-65.0,109.5%
94.0,20260518,구미,구미,봉곡(집),291.0,190.0,101.0,65.3%
95.0,20260518,구미,구미,선산(집),239.0,250.0,-11.0,104.6%
96.0,20260518,구미,구미,송정(집),485.0,490.0,-5.0,101%
97.0,20260518,구미,구미,옥계(집),748.0,809.0,-61.0,108.2%
98.0,20260518,구미,구미,형곡(집),447.0,480.0,-33.0,107.4%
99.0,20260518,구미,군위,군위(집),118.0,103.0,15.0,87.3%
100.0,20260518,구미,김천,김천덕곡(집),89.0,93.0,-4.0,104.5%
101.0,20260518,구미,김천,김천신음(집),469.0,452.0,17.0,96.4%
102.0,20260518,구미,김천,김천아포(집),205.0,199.0,6.0,97.1%
103.0,20260518,구미,김천,김천혁신(집),293.0,317.0,-24.0,108.2%
104.0,20260518,구미,문경,문경(집),503.0,538.0,-35.0,107%
105.0,20260518,구미,상주,상주(집),552.0,558.0,-6.0,101.1%
106.0,20260518,구미,성주,성주(집),85.0,104.0,-19.0,122.4%
107.0,20260518,구미,칠곡,왜관(집),871.0,939.0,-68.0,107.8%
108.0,20260518,구미,칠곡,인동(집),475.0,517.0,-42.0,108.8%
109.0,20260518,구미,칠곡,임수(집),179.0,234.0,-55.0,130.7%
110.0,20260518,군포,과천,과천(집),629.0,603.0,26.0,95.9%
111.0,20260518,군포,군포(H동),군포금정(집),623.0,577.0,46.0,92.6%
112.0,20260518,군포,군포(H동),군포부곡(집),495.0,579.0,-84.0,117%
113.0,20260518,군포,군포(H동),산본(집),471.0,422.0,49.0,89.6%
114.0,20260518,군포,안양동안(철송장),안양관양(집),795.0,873.0,-78.0,109.8%
115.0,20260518,군포,안양동안(철송장),평촌(집),644.0,716.0,-72.0,111.2%
116.0,20260518,군포,안양동안(철송장),호계(집),1013.0,1029.0,-16.0,101.6%
117.0,20260518,군포,안양만안,만안(집),1249.0,1286.0,-37.0,103%
118.0,20260518,군포,안양만안,석수(집),471.0,465.0,6.0,98.7%
119.0,20260518,군포,의왕,의왕(집),1166.0,1282.0,-116.0,109.9%
120.0,20260518,남양주,다산,남양주다산(집),248.0,273.0,-25.0,110.1%
121.0,20260518,남양주,다산,남양주양정(집),1026.0,1093.0,-67.0,106.5%
122.0,20260518,남양주,별내,별내(집),1138.0,1207.0,-69.0,106.1%
123.0,20260518,남양주,별내,오남(집),394.0,427.0,-33.0,108.4%
124.0,20260518,남양주,양평,양평(집),747.0,886.0,-139.0,118.6%
125.0,20260518,남양주,진접,남양주왕숙(집),346.0,382.0,-36.0,110.4%
126.0,20260518,남양주,진접,진접(집),631.0,664.0,-33.0,105.2%
127.0,20260518,남양주,진접,진접장현(집),296.0,304.0,-8.0,102.7%
128.0,20260518,남양주,화도,와부(집),381.0,340.0,41.0,89.2%
129.0,20260518,남양주,화도,화도(집),1935.0,1438.0,497.0,74.3%
130.0,20260518,대구,고령,고령(집),240.0,248.0,-8.0,103.3%
131.0,20260518,대구,남구,대명(집),376.0,434.0,-58.0,115.4%
132.0,20260518,대구,남구,대명남(집),437.0,468.0,-31.0,107.1%
133.0,20260518,대구,남구,봉덕(집),244.0,287.0,-43.0,117.6%
134.0,20260518,대구,달서,다사(집),702.0,751.0,-49.0,107%
135.0,20260518,대구,달서,성서(집),435.0,487.0,-52.0,112%
136.0,20260518,대구,달서,월성(집),459.0,501.0,-42.0,109.2%
137.0,20260518,대구,달성,가창(집),47.0,37.0,10.0,78.7%
138.0,20260518,대구,달성,달성(집),567.0,613.0,-46.0,108.1%
139.0,20260518,대구,달성,대구진천(집),607.0,607.0,0.0,100%
140.0,20260518,대구,달성,상인(집),284.0,332.0,-48.0,116.9%
141.0,20260518,대구,달성,옥포(집),301.0,342.0,-41.0,113.6%
142.0,20260518,대구,달성,현풍(집),1270.0,1349.0,-79.0,106.2%
143.0,20260518,대구,대구,대구 용산(집),1142.0,1266.0,-124.0,110.9%
144.0,20260518,대구,대구,송현(집),744.0,762.0,-18.0,102.4%
145.0,20260518,대구,동명,동명(집),44.0,52.0,-8.0,118.2%
146.0,20260518,대구,서대구,이현(집),591.0,589.0,2.0,99.7%
147.0,20260518,대구,서대구,평리(집),670.0,715.0,-45.0,106.7%
148.0,20260518,대전,공주,공주(집),211.0,237.0,-26.0,112.3%
149.0,20260518,대전,공주,장군(집),332.0,335.0,-3.0,100.9%
150.0,20260518,대전,금산,금산(집),483.0,513.0,-30.0,106.2%
151.0,20260518,대전,논산,강경(집),278.0,307.0,-29.0,110.4%
152.0,20260518,대전,논산,논산(집),541.0,551.0,-10.0,101.8%
153.0,20260518,대전,대전A,계룡(집),335.0,369.0,-34.0,110.1%
154.0,20260518,대전,대전A,관평(집),339.0,381.0,-42.0,112.4%
155.0,20260518,대전,대전A,봉명(집),1457.0,1658.0,-201.0,113.8%
156.0,20260518,대전,대전A,전민(집),927.0,1050.0,-123.0,113.3%
157.0,20260518,대전,대전A,진잠반석(집),735.0,794.0,-59.0,108%
158.0,20260518,대전,대전중구,둔산(집),425.0,488.0,-63.0,114.8%
159.0,20260518,대전,대전중구,문화(집),414.0,461.0,-47.0,111.4%
160.0,20260518,대전,대전중구,은행(집),359.0,384.0,-25.0,107%
161.0,20260518,대전,대전중구,중촌대흥(집),991.0,1055.0,-64.0,106.5%
162.0,20260518,대전,동대전,대전성남(집),1594.0,1711.0,-117.0,107.3%
163.0,20260518,대전,무주,무주(집),141.0,98.0,43.0,69.5%
164.0,20260518,대전,부여,부여(집),366.0,382.0,-16.0,104.4%
165.0,20260518,대전,북대전,송촌(집),1158.0,845.0,313.0,73%
166.0,20260518,대전,북대전,신탄진(집),673.0,739.0,-66.0,109.8%
167.0,20260518,대전,서대전,관저(집),658.0,729.0,-71.0,110.8%
168.0,20260518,대전,서대전,월평탄방(집),1293.0,1406.0,-113.0,108.7%
169.0,20260518,대전,서대전,정림(집),820.0,881.0,-61.0,107.4%
170.0,20260518,대전,영동,영동(집),304.0,315.0,-11.0,103.6%
171.0,20260518,대전,옥천,옥천(집),379.0,369.0,10.0,97.4%
172.0,20260518,대전,조치원,남세종(집),739.0,788.0,-49.0,106.6%
173.0,20260518,대전,조치원,서세종(집),1389.0,1519.0,-130.0,109.4%
174.0,20260518,대전,조치원,세종중앙(집),768.0,820.0,-52.0,106.8%
175.0,20260518,대전,조치원,연기(집),1363.0,1455.0,-92.0,106.7%
176.0,20260518,대전,조치원,전의(집),533.0,515.0,18.0,96.6%
177.0,20260518,대전,청양,청양(집),127.0,110.0,17.0,86.6%
178.0,20260518,동대구,경산,경산백천(집),273.0,306.0,-33.0,112.1%
179.0,20260518,동대구,경산,경산중산(집),312.0,379.0,-67.0,121.5%
180.0,20260518,동대구,경산,하양(집),968.0,945.0,23.0,97.6%
181.0,20260518,동대구,대구중구,대구중구(집),691.0,745.0,-54.0,107.8%
182.0,20260518,동대구,대구중구,대봉(집),492.0,580.0,-88.0,117.9%
183.0,20260518,동대구,대구중구,봉무(집),463.0,477.0,-14.0,103%
184.0,20260518,동대구,동대구,대구방촌(집),469.0,512.0,-43.0,109.2%
185.0,20260518,동대구,동대구,대구신천(집),468.0,507.0,-39.0,108.3%
186.0,20260518,동대구,동대구,안심(집),783.0,817.0,-34.0,104.3%
187.0,20260518,동대구,북대구,대구 강북(집),991.0,944.0,47.0,95.3%
188.0,20260518,동대구,북대구,대구매천(집),455.0,493.0,-38.0,108.4%
189.0,20260518,동대구,북대구,산격(집),569.0,644.0,-75.0,113.2%
190.0,20260518,동대구,북대구,칠성(집),948.0,1029.0,-81.0,108.5%
191.0,20260518,동대구,북대구,학정(집),216.0,260.0,-44.0,120.4%
192.0,20260518,동대구,수성구,두산(집),934.0,1029.0,-95.0,110.2%
193.0,20260518,동대구,수성구,만촌(집),326.0,375.0,-49.0,115%
194.0,20260518,동대구,수성구,수성(집),1671.0,1744.0,-73.0,104.4%
195.0,20260518,동대구,수성구,시지(집),726.0,778.0,-52.0,107.2%
196.0,20260518,동대구,영천,영천(집),470.0,713.0,-243.0,151.7%
197.0,20260518,동대구,청도,청도(집),195.0,222.0,-27.0,113.8%
198.0,20260518,동대문,구리사노2(성북),길음(집),215.0,228.0,-13.0,106%
199.0,20260518,동대문,구리사노2(성북),돈암(집),158.0,174.0,-16.0,110.1%
200.0,20260518,동대문,구리사노2(성북),신성북(집),180.0,206.0,-26.0,114.4%
201.0,20260518,동대문,구리사노2(성북),안암(집),117.0,124.0,-7.0,106%
202.0,20260518,동대문,구리사노2(성북),월곡(집),743.0,831.0,-88.0,111.8%
203.0,20260518,동대문,구리사노2(성북),정릉(집),843.0,786.0,57.0,93.2%
204.0,20260518,동대문,구리사노2(성북),종암(집),125.0,185.0,-60.0,148%
205.0,20260518,동대문,구리사노2(중랑),망우(집),734.0,822.0,-88.0,112%
206.0,20260518,동대문,구리사노2(중랑),면목(집),1262.0,1349.0,-87.0,106.9%
207.0,20260518,동대문,구리사노2(중랑),묵동(집),317.0,331.0,-14.0,104.4%
208.0,20260518,동대문,구리사노2(중랑),상봉(집),322.0,355.0,-33.0,110.2%
209.0,20260518,동대문,동대문(종로),내수(집),133.0,144.0,-11.0,108.3%
210.0,20260518,동대문,동대문(종로),숭인(집),209.0,252.0,-43.0,120.6%
211.0,20260518,동대문,동대문(종로),인사(집),256.0,303.0,-47.0,118.4%
212.0,20260518,동대문,동대문(종로),종로3가(집),205.0,225.0,-20.0,109.8%
213.0,20260518,동대문,동대문(종로),종로평창(집),134.0,143.0,-9.0,106.7%
214.0,20260518,동대문,동대문(종로),창신(집),120.0,136.0,-16.0,113.3%
215.0,20260518,동대문,성수(동대문),용두(집),282.0,319.0,-37.0,113.1%
216.0,20260518,동대문,성수(동대문),이문(집),798.0,896.0,-98.0,112.3%
217.0,20260518,동대문,성수(동대문),장안(집),354.0,436.0,-82.0,123.2%
218.0,20260518,동대문,성수(동대문),전농(집),687.0,699.0,-12.0,101.7%
219.0,20260518,동대문,성수(동대문),제기(집),263.0,261.0,2.0,99.2%
220.0,20260518,마포,서대문,북가좌(집),910.0,982.0,-72.0,107.9%
221.0,20260518,마포,서대문,연희(집),263.0,285.0,-22.0,108.4%
222.0,20260518,마포,서대문,홍은(집),420.0,363.0,57.0,86.4%
223.0,20260518,마포,신마포,서교(집),154.0,201.0,-47.0,130.5%
224.0,20260518,마포,신마포,염리(집),209.0,368.0,-159.0,176.1%
225.0,20260518,마포,신마포,홍제(집),28.0,45.0,-17.0,160.7%
226.0,20260518,마포,신수(용산),남대문시장(집),59.0,77.0,-18.0,130.5%
227.0,20260518,마포,신수(용산),보광(집),51.0,58.0,-7.0,113.7%
228.0,20260518,마포,신수(용산),신당(집),270.0,296.0,-26.0,109.6%
229.0,20260518,마포,신수(용산),이태원(집),138.0,177.0,-39.0,128.3%
230.0,20260518,마포,신수(용산),후암(집),414.0,468.0,-54.0,113%
231.0,20260518,마포,용산2,용산(집),407.0,490.0,-83.0,120.4%
232.0,20260518,마포,용산2,원효(집),208.0,299.0,-91.0,143.8%
233.0,20260518,마포,장항1(중구),남산(집),84.0,92.0,-8.0,109.5%
