No,일자,택배지점,터미널,집배점,배송완료 대상건수,배송 예정시간내 건수,배송 예정 시간내 완료율
1.0,20260518,강릉,간성,강원 고성(집),189.0,149.0,78.8%
2.0,20260518,강릉,간성,거진(집),172.0,140.0,81.4%
3.0,20260518,강릉,강릉,강릉교동(집),630.0,619.0,98.3%
4.0,20260518,강릉,강릉,강릉입암(집),351.0,347.0,98.9%
5.0,20260518,강릉,강릉,강릉중앙(집),268.0,257.0,95.9%
6.0,20260518,강릉,강릉,강릉홍제(집),295.0,294.0,99.7%
7.0,20260518,강릉,강릉,주문진(집),250.0,222.0,88.8%
8.0,20260518,강릉,강릉,포남(집),330.0,330.0,100%
9.0,20260518,강릉,동해,남동해(집),433.0,432.0,99.8%
10.0,20260518,강릉,동해,동해(집),483.0,418.0,86.5%
11.0,20260518,강릉,삼척,삼척(집),554.0,513.0,92.6%
12.0,20260518,강릉,속초,속초설악(집),384.0,354.0,92.2%
13.0,20260518,강릉,속초,속초양양(집),1040.0,762.0,73.3%
14.0,20260518,강북,강북,미아(집),1763.0,1286.0,72.9%
15.0,20260518,강북,강북,번동(집),390.0,301.0,77.2%
16.0,20260518,강북,고암(노원),노원(집),3183.0,2686.0,84.4%
17.0,20260518,강북,고암(노원),중계(집),765.0,750.0,98%
18.0,20260518,강북,도봉,도봉(집),1678.0,1339.0,79.8%
19.0,20260518,강북,도봉,창동(집),844.0,647.0,76.7%
20.0,20260518,강북,의정부,가능(집),2032.0,1714.0,84.4%
21.0,20260518,강북,의정부,의정부(집),632.0,559.0,88.4%
22.0,20260518,강북,의정부,의정부용현(집),725.0,708.0,97.7%
23.0,20260518,강북,의정부,호원(집),753.0,731.0,97.1%
24.0,20260518,강서,강서,강서공항(집),410.0,399.0,97.3%
25.0,20260518,강서,강서,마곡(집),727.0,514.0,70.7%
26.0,20260518,강서,강서,방화(집),891.0,855.0,96%
27.0,20260518,강서,강화,강화교동(집),447.0,393.0,87.9%
28.0,20260518,강서,강화,강화삼산(집),395.0,323.0,81.8%
29.0,20260518,강서,김포,김포구래(집),2143.0,1681.0,78.4%
30.0,20260518,강서,김포,김포장기(집),1137.0,904.0,79.5%
31.0,20260518,강서,김포2,김포대곶(집),736.0,676.0,91.8%
32.0,20260518,강서,김포2,김포마산(집),637.0,531.0,83.4%
33.0,20260518,강서,김포2,김포양촌(집),541.0,532.0,98.3%
34.0,20260518,강서,김포2,김포운양(집),794.0,754.0,95%
35.0,20260518,강서,목동,등촌(집),972.0,901.0,92.7%
36.0,20260518,강서,목동,신목동(집),771.0,682.0,88.5%
37.0,20260518,강서,신월,목일(집),274.0,240.0,87.6%
38.0,20260518,강서,신월,양천신월(집),871.0,719.0,82.5%
39.0,20260518,강서,신월,화곡(집),1339.0,1298.0,96.9%
40.0,20260518,강서,양천,신목(집),421.0,392.0,93.1%
41.0,20260518,강서,양천,신정(집),929.0,912.0,98.2%
42.0,20260518,강서,양천,염창(집),325.0,323.0,99.4%
43.0,20260518,광주,고창,고창(집),469.0,360.0,76.8%
44.0,20260518,광주,광주,광주송정(집),1752.0,1524.0,87%
45.0,20260518,광주,광주,수완(집),1484.0,1246.0,84%
46.0,20260518,광주,나주,나주(집),1046.0,842.0,80.5%
47.0,20260518,광주,나주,나주동구(집),338.0,317.0,93.8%
48.0,20260518,광주,남광주,광주금호(집),599.0,539.0,90%
49.0,20260518,광주,남광주,광주방림(집),968.0,547.0,56.5%
50.0,20260518,광주,남광주,광주진월(집),1308.0,1245.0,95.2%
51.0,20260518,광주,담양,담양(집),529.0,503.0,95.1%
52.0,20260518,광주,동광주,광주 광산(집),1662.0,1553.0,93.4%
53.0,20260518,광주,동광주,무등(집),1336.0,1254.0,93.9%
54.0,20260518,광주,동광주,오치(집),873.0,787.0,90.1%
55.0,20260518,광주,부안,부안(집),467.0,274.0,58.7%
56.0,20260518,광주,북광주,동문(집),708.0,590.0,83.3%
57.0,20260518,광주,북광주,용봉(집),1139.0,1074.0,94.3%
58.0,20260518,광주,북광주,중흥(집),1967.0,1599.0,81.3%
59.0,20260518,광주,서광주,광주 중부(집),1088.0,1028.0,94.5%
60.0,20260518,광주,서광주,광주화정(집),642.0,625.0,97.4%
61.0,20260518,광주,서광주,풍암(집),625.0,567.0,90.7%
62.0,20260518,광주,장성,순창(집),226.0,161.0,71.2%
63.0,20260518,광주,장성,영광(집),146.0,106.0,72.6%
64.0,20260518,광주,장성,영광읍(집),341.0,326.0,95.6%
65.0,20260518,광주,장성,장성(집),356.0,292.0,82%
66.0,20260518,광주,장성,화순(집),631.0,517.0,81.9%
67.0,20260518,광주,정읍,정읍(집),1021.0,824.0,80.7%
68.0,20260518,구로,관악,서원(집),426.0,347.0,81.5%
69.0,20260518,구로,관악,신림서(집),683.0,571.0,83.6%
70.0,20260518,구로,관악,조원(집),658.0,642.0,97.6%
71.0,20260518,구로,구로,고척(집),848.0,726.0,85.6%
72.0,20260518,구로,구로,구로남(집),622.0,560.0,90%
73.0,20260518,구로,구로,구로중앙(집),868.0,783.0,90.2%
74.0,20260518,구로,남서울,가산벤처(집),617.0,605.0,98.1%
75.0,20260518,구로,남서울,신대림(집),579.0,389.0,67.2%
76.0,20260518,구로,독산/시흥,구로시흥(집),771.0,677.0,87.8%
77.0,20260518,구로,독산/시흥,독산(집),801.0,732.0,91.4%
78.0,20260518,구로,동작,상도(집),557.0,487.0,87.4%
79.0,20260518,구로,동작,상도중앙(집),324.0,298.0,92%
80.0,20260518,구로,동작,신대방(집),615.0,504.0,82%
81.0,20260518,구로,동작사당,노량진(집),821.0,725.0,88.3%
82.0,20260518,구로,동작사당,사당(집),889.0,844.0,94.9%
83.0,20260518,구로,봉천,관악성현(집),422.0,390.0,92.4%
84.0,20260518,구로,봉천,은천(집),533.0,473.0,88.7%
85.0,20260518,구로,봉천,인헌(집),349.0,349.0,100%
86.0,20260518,구로,봉천,행운(집),645.0,488.0,75.7%
87.0,20260518,구로,신구로,구로 서(집),316.0,311.0,98.4%
88.0,20260518,구로,신구로,천왕(집),834.0,798.0,95.7%
89.0,20260518,구로,영등포,신길(집),876.0,839.0,95.8%
90.0,20260518,구로,영등포,여의도(집),1832.0,1554.0,84.8%
91.0,20260518,구로,영등포,영등포중앙(집),788.0,688.0,87.3%
92.0,20260518,구미,구미,구미공단(집),367.0,350.0,95.4%
93.0,20260518,구미,구미,구미지산(집),698.0,697.0,99.9%
94.0,20260518,구미,구미,봉곡(집),292.0,209.0,71.6%
95.0,20260518,구미,구미,선산(집),265.0,249.0,94%
96.0,20260518,구미,구미,송정(집),516.0,514.0,99.6%
97.0,20260518,구미,구미,옥계(집),1057.0,1038.0,98.2%
98.0,20260518,구미,구미,형곡(집),582.0,572.0,98.3%
99.0,20260518,구미,군위,군위(집),153.0,151.0,98.7%
100.0,20260518,구미,김천,김천덕곡(집),135.0,135.0,100%
101.0,20260518,구미,김천,김천신음(집),583.0,409.0,70.2%
102.0,20260518,구미,김천,김천아포(집),207.0,207.0,100%
103.0,20260518,구미,김천,김천혁신(집),299.0,278.0,93%
104.0,20260518,구미,문경,문경(집),570.0,405.0,71.1%
105.0,20260518,구미,상주,상주(집),827.0,679.0,82.1%
106.0,20260518,구미,성주,성주(집),307.0,160.0,52.1%
107.0,20260518,구미,칠곡,왜관(집),1046.0,964.0,92.2%
108.0,20260518,구미,칠곡,인동(집),627.0,585.0,93.3%
109.0,20260518,구미,칠곡,임수(집),297.0,242.0,81.5%
110.0,20260518,군포,과천,과천(집),703.0,366.0,52.1%
111.0,20260518,군포,군포(H동),군포금정(집),985.0,859.0,87.2%
112.0,20260518,군포,군포(H동),군포부곡(집),722.0,649.0,89.9%
113.0,20260518,군포,군포(H동),산본(집),688.0,531.0,77.2%
114.0,20260518,군포,안양동안(철송장),안양관양(집),1043.0,1031.0,98.8%
115.0,20260518,군포,안양동안(철송장),평촌(집),913.0,881.0,96.5%
116.0,20260518,군포,안양동안(철송장),호계(집),1256.0,1036.0,82.5%
117.0,20260518,군포,안양만안,만안(집),1391.0,1276.0,91.7%
118.0,20260518,군포,안양만안,석수(집),866.0,769.0,88.8%
119.0,20260518,군포,의왕,의왕(집),1817.0,1723.0,94.8%
120.0,20260518,남양주,다산,남양주다산(집),391.0,382.0,97.7%
121.0,20260518,남양주,다산,남양주양정(집),1070.0,1063.0,99.3%
122.0,20260518,남양주,별내,별내(집),1183.0,1072.0,90.6%
123.0,20260518,남양주,별내,오남(집),399.0,390.0,97.7%
124.0,20260518,남양주,양평,양평(집),1586.0,1155.0,72.8%
125.0,20260518,남양주,진접,남양주왕숙(집),450.0,433.0,96.2%
126.0,20260518,남양주,진접,진접(집),901.0,809.0,89.8%
127.0,20260518,남양주,진접,진접장현(집),420.0,338.0,80.5%
128.0,20260518,남양주,화도,와부(집),997.0,906.0,90.9%
129.0,20260518,남양주,화도,화도(집),2563.0,1527.0,59.6%
130.0,20260518,대구,고령,고령(집),289.0,212.0,73.4%
131.0,20260518,대구,남구,대명(집),490.0,480.0,98%
132.0,20260518,대구,남구,대명남(집),452.0,452.0,100%
133.0,20260518,대구,남구,봉덕(집),453.0,452.0,99.8%
134.0,20260518,대구,달서,다사(집),1670.0,1627.0,97.4%
135.0,20260518,대구,달서,성서(집),598.0,541.0,90.5%
136.0,20260518,대구,달서,월성(집),483.0,472.0,97.7%
137.0,20260518,대구,달성,가창(집),103.0,54.0,52.4%
138.0,20260518,대구,달성,달성(집),577.0,577.0,100%
139.0,20260518,대구,달성,대구진천(집),708.0,645.0,91.1%
140.0,20260518,대구,달성,상인(집),838.0,791.0,94.4%
141.0,20260518,대구,달성,옥포(집),427.0,424.0,99.3%
142.0,20260518,대구,달성,현풍(집),1329.0,1312.0,98.7%
143.0,20260518,대구,대구,대구 용산(집),1367.0,1156.0,84.6%
144.0,20260518,대구,대구,송현(집),862.0,825.0,95.7%
145.0,20260518,대구,동명,동명(집),46.0,46.0,100%
146.0,20260518,대구,서대구,이현(집),614.0,599.0,97.6%
147.0,20260518,대구,서대구,평리(집),883.0,767.0,86.9%
148.0,20260518,대전,공주,공주(집),360.0,281.0,78.1%
149.0,20260518,대전,공주,장군(집),666.0,355.0,53.3%
150.0,20260518,대전,금산,금산(집),573.0,451.0,78.7%
151.0,20260518,대전,논산,강경(집),291.0,257.0,88.3%
152.0,20260518,대전,논산,논산(집),774.0,638.0,82.4%
153.0,20260518,대전,대전A,계룡(집),529.0,453.0,85.6%
154.0,20260518,대전,대전A,관평(집),691.0,652.0,94.4%
155.0,20260518,대전,대전A,봉명(집),2355.0,1623.0,68.9%
156.0,20260518,대전,대전A,전민(집),947.0,832.0,87.9%
157.0,20260518,대전,대전A,진잠반석(집),740.0,570.0,77%
158.0,20260518,대전,대전중구,둔산(집),1078.0,1036.0,96.1%
159.0,20260518,대전,대전중구,문화(집),524.0,419.0,80%
160.0,20260518,대전,대전중구,은행(집),408.0,394.0,96.6%
161.0,20260518,대전,대전중구,중촌대흥(집),1159.0,1100.0,94.9%
162.0,20260518,대전,동대전,대전성남(집),1665.0,1544.0,92.7%
163.0,20260518,대전,무주,무주(집),214.0,167.0,78%
164.0,20260518,대전,부여,부여(집),566.0,518.0,91.5%
165.0,20260518,대전,북대전,송촌(집),1176.0,1143.0,97.2%
166.0,20260518,대전,북대전,신탄진(집),721.0,718.0,99.6%
167.0,20260518,대전,서대전,관저(집),1370.0,961.0,70.1%
168.0,20260518,대전,서대전,월평탄방(집),1313.0,1199.0,91.3%
169.0,20260518,대전,서대전,정림(집),821.0,736.0,89.6%
170.0,20260518,대전,영동,영동(집),510.0,253.0,49.6%
171.0,20260518,대전,옥천,옥천(집),590.0,339.0,57.5%
172.0,20260518,대전,조치원,남세종(집),763.0,761.0,99.7%
173.0,20260518,대전,조치원,서세종(집),1401.0,1344.0,95.9%
174.0,20260518,대전,조치원,세종중앙(집),778.0,734.0,94.3%
175.0,20260518,대전,조치원,연기(집),1480.0,1142.0,77.2%
176.0,20260518,대전,조치원,전의(집),592.0,515.0,87%
177.0,20260518,대전,청양,청양(집),264.0,159.0,60.2%
178.0,20260518,동대구,경산,경산백천(집),635.0,515.0,81.1%
179.0,20260518,동대구,경산,경산중산(집),1212.0,848.0,70%
180.0,20260518,동대구,경산,하양(집),1278.0,1085.0,84.9%
181.0,20260518,동대구,대구중구,대구중구(집),1339.0,1275.0,95.2%
182.0,20260518,동대구,대구중구,대봉(집),677.0,606.0,89.5%
183.0,20260518,동대구,대구중구,봉무(집),515.0,488.0,94.8%
184.0,20260518,동대구,동대구,대구방촌(집),508.0,473.0,93.1%
185.0,20260518,동대구,동대구,대구신천(집),718.0,653.0,90.9%
186.0,20260518,동대구,동대구,안심(집),1013.0,944.0,93.2%
187.0,20260518,동대구,북대구,대구 강북(집),1107.0,652.0,58.9%
188.0,20260518,동대구,북대구,대구매천(집),521.0,485.0,93.1%
189.0,20260518,동대구,북대구,산격(집),960.0,835.0,87%
190.0,20260518,동대구,북대구,칠성(집),1120.0,1099.0,98.1%
191.0,20260518,동대구,북대구,학정(집),428.0,39.0,9.1%
192.0,20260518,동대구,수성구,두산(집),1035.0,922.0,89.1%
193.0,20260518,동대구,수성구,만촌(집),509.0,407.0,80%
194.0,20260518,동대구,수성구,수성(집),1873.0,1461.0,78%
195.0,20260518,동대구,수성구,시지(집),932.0,850.0,91.2%
196.0,20260518,동대구,영천,영천(집),806.0,721.0,89.5%
197.0,20260518,동대구,청도,청도(집),271.0,177.0,65.3%
198.0,20260518,동대문,구리사노2(성북),길음(집),216.0,215.0,99.5%
199.0,20260518,동대문,구리사노2(성북),돈암(집),168.0,166.0,98.8%
200.0,20260518,동대문,구리사노2(성북),신성북(집),186.0,186.0,100%
201.0,20260518,동대문,구리사노2(성북),안암(집),127.0,117.0,92.1%
202.0,20260518,동대문,구리사노2(성북),월곡(집),1041.0,986.0,94.7%
203.0,20260518,동대문,구리사노2(성북),정릉(집),874.0,739.0,84.6%
204.0,20260518,동대문,구리사노2(성북),종암(집),218.0,214.0,98.2%
205.0,20260518,동대문,구리사노2(중랑),망우(집),800.0,688.0,86%
206.0,20260518,동대문,구리사노2(중랑),면목(집),1320.0,1171.0,88.7%
207.0,20260518,동대문,구리사노2(중랑),묵동(집),377.0,354.0,93.9%
208.0,20260518,동대문,구리사노2(중랑),상봉(집),340.0,324.0,95.3%
209.0,20260518,동대문,동대문(종로),내수(집),288.0,287.0,99.7%
210.0,20260518,동대문,동대문(종로),숭인(집),370.0,358.0,96.8%
211.0,20260518,동대문,동대문(종로),인사(집),478.0,356.0,74.5%
212.0,20260518,동대문,동대문(종로),종로3가(집),297.0,297.0,100%
213.0,20260518,동대문,동대문(종로),종로평창(집),201.0,175.0,87.1%
214.0,20260518,동대문,동대문(종로),창신(집),350.0,341.0,97.4%
215.0,20260518,동대문,성수(동대문),용두(집),332.0,292.0,88%
216.0,20260518,동대문,성수(동대문),이문(집),810.0,808.0,99.8%
217.0,20260518,동대문,성수(동대문),장안(집),642.0,326.0,50.8%
218.0,20260518,동대문,성수(동대문),전농(집),949.0,707.0,74.5%
219.0,20260518,동대문,성수(동대문),제기(집),274.0,257.0,93.8%
220.0,20260518,마포,서대문,북가좌(집),1024.0,1001.0,97.8%
221.0,20260518,마포,서대문,연희(집),527.0,421.0,79.9%
222.0,20260518,마포,서대문,홍은(집),790.0,621.0,78.6%
223.0,20260518,마포,신마포,서교(집),571.0,492.0,86.2%
224.0,20260518,마포,신마포,염리(집),1464.0,1292.0,88.3%
225.0,20260518,마포,신마포,홍제(집),498.0,350.0,70.3%
226.0,20260518,마포,신수(용산),남대문시장(집),101.0,94.0,93.1%
227.0,20260518,마포,신수(용산),보광(집),51.0,34.0,66.7%
228.0,20260518,마포,신수(용산),신당(집),590.0,518.0,87.8%
229.0,20260518,마포,신수(용산),이태원(집),213.0,97.0,45.5%
230.0,20260518,마포,신수(용산),후암(집),652.0,584.0,89.6%
231.0,20260518,마포,용산2,용산(집),723.0,543.0,75.1%
232.0,20260518,마포,용산2,원효(집),752.0,518.0,68.9%
233.0,20260518,마포,장항1(중구),남산(집),317.0,197.0,62.1%
234.0,20260518,마포,장항1(중구),무교(집),651.0,502.0,77.1%
235.0,20260518,마포,장항1(중구),을지(집),284.0,259.0,91.2%
236.0,20260518,마포,장항1(중구),충정로(집),305.0,298.0,97.7%
237.0,20260518,마포,장항1(중구),해운(집),255.0,141.0,55.3%
238.0,20260518,마포,장항2(마포),마포도화(집),267.0,226.0,84.6%
239.0,20260518,마포,장항2(마포),망원(집),340.0,318.0,93.5%
240.0,20260518,마포,장항2(마포),상암(집),625.0,490.0,78.4%
241.0,20260518,마포,장항2(마포),서강(집),610.0,593.0,97.2%
242.0,20260518,목포,강진,강진(집),372.0,229.0,61.6%
243.0,20260518,목포,목포,목포(집),1459.0,1245.0,85.3%
244.0,20260518,목포,목포,목포남악(집),868.0,827.0,95.3%
245.0,20260518,목포,목포,신안(집),149.0,54.0,36.2%
246.0,20260518,목포,목포,영암삼호(집),343.0,336.0,98%
247.0,20260518,목포,무안,무안(집),840.0,695.0,82.7%
248.0,20260518,목포,영암,영암(집),244.0,192.0,78.7%
249.0,20260518,목포,완도,고금(집),65.0,54.0,83.1%
250.0,20260518,목포,완도,노화(집),32.0,32.0,100%
251.0,20260518,목포,완도,완도(집),298.0,189.0,63.4%
252.0,20260518,목포,장흥,장흥(집),334.0,273.0,81.7%
253.0,20260518,목포,진도,진도(집),283.0,185.0,65.4%
254.0,20260518,목포,함평,함평(집),260.0,260.0,100%
255.0,20260518,목포,해남,해남(집),475.0,409.0,86.1%
256.0,20260518,목포,해남,해남황산(집),124.0,112.0,90.3%
257.0,20260518,부산,기장,금사(집),913.0,880.0,96.4%
258.0,20260518,부산,기장,기장(집),527.0,526.0,99.8%
259.0,20260518,부산,기장,부산구서(집),800.0,707.0,88.4%
260.0,20260518,부산,기장,부산남산(집),314.0,277.0,88.2%
261.0,20260518,부산,기장,정관(집),1864.0,1745.0,93.6%
262.0,20260518,부산,남부산,부산대연(집),276.0,276.0,100%
263.0,20260518,부산,남부산,부산우암(집),597.0,597.0,100%
264.0,20260518,부산,남부산,수영(집),1275.0,1208.0,94.7%
265.0,20260518,부산,남부산,영도(집),887.0,883.0,99.5%
266.0,20260518,부산,동부산,암남(집),698.0,606.0,86.8%
267.0,20260518,부산,동부산,연제동(집),1338.0,1288.0,96.3%
268.0,20260518,부산,동부산,연제중앙(집),771.0,721.0,93.5%
269.0,20260518,부산,부산서구,부산대신(집),416.0,381.0,91.6%
270.0,20260518,부산,부산서구,용호(집),2189.0,2008.0,91.7%
271.0,20260518,부산,부산진,부산당감(집),385.0,384.0,99.7%
272.0,20260518,부산,부산진,부산양정(집),1169.0,1041.0,89.1%
273.0,20260518,부산,부산진,부산용당(집),231.0,229.0,99.1%
274.0,20260518,부산,부산진,연지(집),861.0,832.0,96.6%
275.0,20260518,부산,부산진,전포(집),476.0,443.0,93.1%
276.0,20260518,부산,북부산,해운대마린(집),807.0,801.0,99.3%
277.0,20260518,부산,북부산,해운대반여(집),708.0,668.0,94.4%
278.0,20260518,부산,북부산,해운대북(집),580.0,576.0,99.3%
279.0,20260518,부산,북부산,해운대좌동(집),362.0,358.0,98.9%
280.0,20260518,부산,북부산,해운대중동(집),1250.0,1173.0,93.8%
281.0,20260518,부천,광명,광명(집),731.0,699.0,95.6%
282.0,20260518,부천,광명,역곡(집),799.0,638.0,79.8%
283.0,20260518,부천,광명,철산(집),629.0,612.0,97.3%
284.0,20260518,부천,광명,하안본(집),1159.0,1095.0,94.5%
285.0,20260518,부천,부천,삼정(집),542.0,525.0,96.9%
286.0,20260518,부천,부천,소사중앙(집),722.0,695.0,96.3%
287.0,20260518,부천,부천,오정(집),914.0,735.0,80.4%
288.0,20260518,부천,부천,옥길(집),598.0,595.0,99.5%
289.0,20260518,부천,부천,원미(집),915.0,842.0,92%
290.0,20260518,부천,부천송내,상동본(집),391.0,304.0,77.7%
291.0,20260518,부천,부천송내,상동중앙(집),553.0,515.0,93.1%
292.0,20260518,부천,부천송내,송내본(집),675.0,663.0,98.2%
293.0,20260518,부천,부천송내,중동(집),1316.0,1115.0,84.7%
294.0,20260518,부평,검단,검단(집),1304.0,1195.0,91.6%
295.0,20260518,부평,검단,아라(집),1495.0,1435.0,96%
296.0,20260518,부평,부평,갈산(집),916.0,910.0,99.3%
297.0,20260518,부평,부평,부평부개(집),1140.0,997.0,87.5%
298.0,20260518,부평,부평,부평삼산(집),432.0,426.0,98.6%
299.0,20260518,부평,부평,산곡(집),602.0,595.0,98.8%
300.0,20260518,부평,부평,청천(집),799.0,797.0,99.7%
301.0,20260518,부평,서인천,가좌(집),615.0,572.0,93%
302.0,20260518,부평,서인천,계산(집),785.0,721.0,91.8%
303.0,20260518,부평,서인천,계양(집),504.0,377.0,74.8%
304.0,20260518,부평,서인천,서구연희(집),642.0,572.0,89.1%
305.0,20260518,부평,서인천,신석남(집),439.0,425.0,96.8%
306.0,20260518,부평,서인천,작전(집),699.0,606.0,86.7%
307.0,20260518,부평,서인천,효성(집),426.0,339.0,79.6%
308.0,20260518,부평,청라,청라(집),2208.0,2177.0,98.6%
309.0,20260518,분당,경기광주,성남금광(집),605.0,461.0,76.2%
310.0,20260518,분당,곤지암,곤지암(집),1503.0,1064.0,70.8%
311.0,20260518,분당,곤지암,초월(집),1530.0,1487.0,97.2%
312.0,20260518,분당,곤지암(태전),경안(집),1264.0,1071.0,84.7%
313.0,20260518,분당,분당,분당정자(집),1201.0,1191.0,99.2%
314.0,20260518,분당,분당,판교(집),2160.0,2121.0,98.2%
315.0,20260518,분당,성남,금토(집),232.0,229.0,98.7%
316.0,20260518,분당,성남,상대원(집),404.0,390.0,96.5%
317.0,20260518,분당,성남,성남중원(집),784.0,760.0,96.9%
318.0,20260518,분당,성남,신흥(집),546.0,530.0,97.1%
319.0,20260518,분당,수정,성남수진(집),1049.0,824.0,78.6%
320.0,20260518,분당,수정,창곡(집),204.0,83.0,40.7%
321.0,20260518,분당,신분당,분당구미(집),1056.0,1043.0,98.8%
322.0,20260518,분당,신분당,분당서현(집),963.0,954.0,99.1%
323.0,20260518,분당,오포,광주오포(집),590.0,522.0,88.5%
324.0,20260518,분당,오포,신오포(집),915.0,827.0,90.4%
325.0,20260518,서부산,부산강서,부산대저(집),958.0,957.0,99.9%
326.0,20260518,서부산,부산강서,하단명지(집),2218.0,2184.0,98.5%
327.0,20260518,서부산,사하,개금(집),431.0,390.0,90.5%
328.0,20260518,서부산,사하,다대(집),646.0,612.0,94.7%
329.0,20260518,서부산,사하,범천(집),353.0,330.0,93.5%
330.0,20260518,서부산,사하,신평(집),620.0,603.0,97.3%
331.0,20260518,서부산,서부산,감전(집),626.0,521.0,83.2%
332.0,20260518,서부산,서부산,괘법(집),850.0,843.0,99.2%
333.0,20260518,서부산,서부산,엄궁(집),482.0,389.0,80.7%
334.0,20260518,서부산,중부산,국제시장(집),135.0,132.0,97.8%
335.0,20260518,서부산,중부산,동래사직(집),537.0,503.0,93.7%
336.0,20260518,서부산,중부산,동래온천(집),948.0,833.0,87.9%
337.0,20260518,서부산,중부산,동래중앙(집),535.0,484.0,90.5%
338.0,20260518,서부산,중부산,범일(집),361.0,356.0,98.6%
339.0,20260518,서부산,중부산,안락남포(집),870.0,807.0,92.8%
340.0,20260518,서부산,중부산,초량(집),508.0,451.0,88.8%
341.0,20260518,서산당진,당진,송악(집),653.0,460.0,70.4%
342.0,20260518,서산당진,당진,수청(집),1380.0,868.0,62.9%
343.0,20260518,서산당진,동서산,석림(집),970.0,862.0,88.9%
344.0,20260518,서산당진,동서산,수석(집),730.0,506.0,69.3%
345.0,20260518,서산당진,보령,보령(집),895.0,781.0,87.3%
346.0,20260518,서산당진,서산,읍내(집),539.0,510.0,94.6%
347.0,20260518,서산당진,태안,태안(집),682.0,569.0,83.4%
348.0,20260518,서산당진,홍성,홍성(집),1410.0,1278.0,90.6%
349.0,20260518,송파,강남,논현(집),631.0,439.0,69.6%
350.0,20260518,송파,강남,삼성(집),556.0,456.0,82%
351.0,20260518,송파,강남,세곡(집),350.0,323.0,92.3%
